jaredzhou/pony	0.1.1	cmd/main	jaredzhou/pony/cmd/main		/assets/jaredzhou/pony@0.1.1/cmd/main/main.wasm
R00TK17/hex_editor	0.1.0	cmd/wasm	R00TK17/hex_editor/cmd/wasm		/assets/R00TK17/hex_editor@0.1.0/cmd/wasm/wasm.wasm
Mairzzcllo/moonbit_sqlc_plugin	0.1.3	plugin	Mairzzcllo/moonbit_sqlc_plugin/plugin		/assets/Mairzzcllo/moonbit_sqlc_plugin@0.1.3/plugin/plugin.wasm
moonbitlang/parser	0.3.5	cmd/moonfmt	moonbitlang/parser/cmd/moonfmt		/assets/moonbitlang/parser@0.3.5/cmd/moonfmt/moonfmt.wasm
moonbitlang/parser	0.3.5	cmd/wasm/mq	moonbitlang/parser/cmd/wasm/mq		/assets/moonbitlang/parser@0.3.5/cmd/wasm/mq/mq.wasm
pocket7878/cog_complex	0.1.0	cmd/cog_complex	pocket7878/cog_complex/cmd/cog_complex		/assets/pocket7878/cog_complex@0.1.0/cmd/cog_complex/cog_complex.wasm
connect0459/starlark	0.3.1	cmd/starlark	connect0459/starlark/cmd/starlark		/assets/connect0459/starlark@0.3.1/cmd/starlark/starlark.wasm
Xpeng/mooncharts	0.3.0	cmd/main	Xpeng/mooncharts/cmd/main		/assets/Xpeng/mooncharts@0.3.0/cmd/main/main.wasm
Xpeng/mooncharts	0.3.0	web	Xpeng/mooncharts/web		/assets/Xpeng/mooncharts@0.3.0/web/web.wasm
starlittle/MoonEvidence	0.3.0	src/api	starlittle/MoonEvidence/src/api		/assets/starlittle/MoonEvidence@0.3.0/src/api/api.wasm
starlittle/MoonEvidence	0.3.0	src/cmd/main	starlittle/MoonEvidence/src/cmd/main		/assets/starlittle/MoonEvidence@0.3.0/src/cmd/main/main.wasm
Milky2018/pptz	0.5.0		Milky2018/pptz	Create editable PowerPoint PPTX decks from pptz YAML sources with Milky2018/pptz. Use when Codex needs to design a new slide deck, write deck/page sources, compile them to .pptx, and deliver both sources and output. Do not use for editing an existing PPTX or for PowerPoint features outside the pptz schema.	/assets/Milky2018/pptz@0.5.0/pptz.wasm
moonbit-community/moongrep	0.1.6		moonbit-community/moongrep	`moongrep` is an experimental MoonBit structural search and taint-analysis tool. Matching rules are declared as YAML files.	/assets/moonbit-community/moongrep@0.1.6/moongrep.wasm
Betterlol/moon_zod	0.5.1	cmd/json2schema	Betterlol/moon_zod/cmd/json2schema		/assets/Betterlol/moon_zod@0.5.1/cmd/json2schema/json2schema.wasm
Betterlol/moon_zod	0.5.1	cmd/main	Betterlol/moon_zod/cmd/main		/assets/Betterlol/moon_zod@0.5.1/cmd/main/main.wasm
Betterlol/moon_zod	0.5.1	cmd/wasm	Betterlol/moon_zod/cmd/wasm		/assets/Betterlol/moon_zod@0.5.1/cmd/wasm/wasm.wasm
Betterlol/moon_zod	0.5.1	examples/educational_agent	Betterlol/moon_zod/examples/educational_agent		/assets/Betterlol/moon_zod@0.5.1/examples/educational_agent/educational_agent.wasm
Betterlol/moon_zod	0.5.1	examples/json2schema	Betterlol/moon_zod/examples/json2schema		/assets/Betterlol/moon_zod@0.5.1/examples/json2schema/json2schema.wasm
Betterlol/moon_zod	0.5.1	examples/llm_agent	Betterlol/moon_zod/examples/llm_agent		/assets/Betterlol/moon_zod@0.5.1/examples/llm_agent/llm_agent.wasm
Betterlol/moon_zod	0.5.1	examples/real_llm_agent	Betterlol/moon_zod/examples/real_llm_agent		/assets/Betterlol/moon_zod@0.5.1/examples/real_llm_agent/real_llm_agent.wasm
Betterlol/moon_zod	0.5.1	examples/schema2json	Betterlol/moon_zod/examples/schema2json		/assets/Betterlol/moon_zod@0.5.1/examples/schema2json/schema2json.wasm
Betterlol/moon_zod	0.5.1	examples/schema2prompt	Betterlol/moon_zod/examples/schema2prompt		/assets/Betterlol/moon_zod@0.5.1/examples/schema2prompt/schema2prompt.wasm
Luna-Flow/geometry3d	0.5.0	demo	Luna-Flow/geometry3d/demo		/assets/Luna-Flow/geometry3d@0.5.0/demo/demo.wasm
kaashyapan/uri	0.1.2		kaashyapan/uri		/assets/kaashyapan/uri@0.1.2/uri.wasm
Luna-Flow/linear-algebra	0.3.0	perf_runner	Luna-Flow/linear-algebra/perf_runner		/assets/Luna-Flow/linear-algebra@0.3.0/perf_runner/perf_runner.wasm
bobzhang/bap	0.2.2	cmd/main	bobzhang/bap/cmd/main		/assets/bobzhang/bap@0.2.2/cmd/main/main.wasm
Nanaloveyuki/BitLogger	0.5.3	examples/basic	Nanaloveyuki/BitLogger/examples/basic		/assets/Nanaloveyuki/BitLogger@0.5.3/examples/basic/basic.wasm
Nanaloveyuki/BitLogger	0.5.3	examples/config_build	Nanaloveyuki/BitLogger/examples/config_build		/assets/Nanaloveyuki/BitLogger@0.5.3/examples/config_build/config_build.wasm
Nanaloveyuki/BitLogger	0.5.3	examples/console_basic	Nanaloveyuki/BitLogger/examples/console_basic		/assets/Nanaloveyuki/BitLogger@0.5.3/examples/console_basic/console_basic.wasm
Nanaloveyuki/BitLogger	0.5.3	examples/file_rotation	Nanaloveyuki/BitLogger/examples/file_rotation		/assets/Nanaloveyuki/BitLogger@0.5.3/examples/file_rotation/file_rotation.wasm
Nanaloveyuki/BitLogger	0.5.3	examples/presets	Nanaloveyuki/BitLogger/examples/presets		/assets/Nanaloveyuki/BitLogger@0.5.3/examples/presets/presets.wasm
Nanaloveyuki/BitLogger	0.5.3	examples/style_tags	Nanaloveyuki/BitLogger/examples/style_tags		/assets/Nanaloveyuki/BitLogger@0.5.3/examples/style_tags/style_tags.wasm
